geom;geom_comment;molecule;n_pretrain_HF;energy_type;epoch;E;E_sigma;wandb_url;experiment;source;method;embedding;orbitals;reuse_from;n_pretrain_variational;n_shared_molecules;epoch_geom;n_moelcules_shared;batch_size;HF_pretraining_loss
8a7f2745639c059bcade6020b30ce6fb;HChain6_2.00_2.00;HChain6;2000.0;eval;4000.0;-3.3846377246379853;3.2308815645493125e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/qku17xmz;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
8a7f2745639c059bcade6020b30ce6fb;HChain6_2.00_2.00;HChain6;2000.0;eval;8000.0;-3.384728814125061;2.4450349347818643e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/qku17xmz;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
8a7f2745639c059bcade6020b30ce6fb;HChain6_2.00_2.00;HChain6;2000.0;eval;16000.0;-3.384808379650116;2.10950468305452e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/qku17xmz;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
e688a8d173eec50f19efeaed51602907;HChain6_2.40;HChain6;2000.0;eval;500.0;-3.3049511299133303;6.190951186509909e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/erl5z2s7;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
e688a8d173eec50f19efeaed51602907;HChain6_2.40;HChain6;2000.0;eval;1000.0;-3.306199743747712;4.593255285717379e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/erl5z2s7;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
e688a8d173eec50f19efeaed51602907;HChain6_2.40;HChain6;2000.0;eval;2000.0;-3.306675589799881;3.5361450196466216e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/erl5z2s7;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
e688a8d173eec50f19efeaed51602907;HChain6_2.40;HChain6;2000.0;eval;4000.0;-3.306853695631028;2.9398216540830296e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/erl5z2s7;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
e688a8d173eec50f19efeaed51602907;HChain6_2.40;HChain6;2000.0;eval;8000.0;-3.306985228538513;2.330741474432485e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/erl5z2s7;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
e688a8d173eec50f19efeaed51602907;HChain6_2.40;HChain6;2000.0;eval;16000.0;-3.307101932048797;1.8978596798346443e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/erl5z2s7;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
eec1bcb573cf13cf2c31b146df928b55;HChain6_2.20;HChain6;2000.0;eval;500.0;-3.347277680397034;6.669557950386431e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8cx1yrrp;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
