,geom,geom_comment,molecule,n_pretrain_HF,energy_type,epoch,E,E_sigma,wandb_url,experiment,source,method,embedding,orbitals,reuse_from,n_pretrain_variational,n_shared_molecules,epoch_geom,n_moelcules_shared,batch_size,HF_pretraining_loss,n_compounds,model_size
7933,adf13c6e0a70bb28ad9b6589a5e0e67a,CNH_smiles_C#N_rot_dist_57,CNH,0.0,eval,4000.0,-93.39739356994627,0.0007999211639429,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/52kqevn6,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,351.0,,2048.0,,18.0,2.0
7940,bbbfca44b9091198c7125c7f717a805b,C3H4_smiles_C=C=C_rot_dist_55,C3H4,0.0,eval,4000.0,-116.57508018493652,0.0011651952580045,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/7rv0lcly,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,336.0,,2048.0,,18.0,2.0
7947,3780ada9b881baef74b03a48920d511d,CN2H2_smiles_N=C=N_rot_dist_57,CN2H2,0.0,eval,4000.0,-148.69807441711427,0.0017948786887344,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/nr204jr7,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,376.0,,2048.0,,18.0,2.0
7954,adc18250f835054d410bd977c58b6cb3,CNH_smiles_C#N_rot_dist_56,CNH,0.0,eval,4000.0,-93.4077480316162,0.000876388788493,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/z5n7j53b,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,407.0,,2048.0,,18.0,2.0
7961,871ddaa9cb59f5350a7a8f28296d3a7a,CNOH_smiles_N=C=O_rot_dist_57,CNOH,0.0,eval,4000.0,-168.6052980041504,0.0017966628836714,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/smkttrwo,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,365.0,,2048.0,,18.0,2.0
7968,0d6a81662b3a848733947c02c9090d96,C3H4_smiles_C=C=C_rot_dist_54,C3H4,0.0,eval,4000.0,-116.5410715866089,0.0013247604390521,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/bp0ipp0v,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,444.0,,2048.0,,18.0,2.0
7975,4e31e685328e460abcc0ca3d64eaa5cb,CNH_smiles_C#N_rot_dist_55,CNH,0.0,eval,4000.0,-93.333649559021,0.0008080775498437,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/espdayjj,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,383.0,,2048.0,,18.0,2.0
7982,f564966fbcdd0e2cb3b684c6270e4d87,CN2H2_smiles_N=C=N_rot_dist_56,CN2H2,0.0,eval,4000.0,-148.66628677368163,0.0014040050232746,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/bvtdidhv,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,361.0,,2048.0,,18.0,2.0
7989,77b8fe492b0c6d92617468f30bc68ea2,CNOH_smiles_N=C=O_rot_dist_56,CNOH,0.0,eval,4000.0,-168.60700950622558,0.0021258944690216,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/w90ltf1x,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,339.0,,2048.0,,18.0,2.0
7996,d08af6707a0a466446d7cf60d2174083,C3H4_smiles_C=C=C_rot_dist_53,C3H4,0.0,eval,4000.0,-116.57253425598144,0.0011090172899447,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/da56m2tu,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,315.0,,2048.0,,18.0,2.0
8003,be7f6f48254ccdc6dcdd17ec75d15424,CNH_smiles_C#N_rot_dist_54,CNH,0.0,eval,4000.0,-93.28515594482424,0.0007435497625994,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/kobs3bdq,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,478.0,,2048.0,,18.0,2.0
8010,fa9aab73ff0bde1928b5e68f4f8f8235,CN2H2_smiles_N=C=N_rot_dist_55,CN2H2,0.0,eval,4000.0,-148.6401296234131,0.0014411842417738,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/ah95i3s6,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,395.0,,2048.0,,18.0,2.0
8017,a2ecea603a44528faa7101cca2e8358b,C3H4_smiles_C=C=C_rot_dist_52,C3H4,0.0,eval,4000.0,-116.5548114013672,0.0014287653224643,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/gbaq8y2x,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,524.0,,2048.0,,18.0,2.0
8024,b2d95744ec27649f03c0f88aa5ebbe79,CNOH_smiles_N=C=O_rot_dist_55,CNOH,0.0,eval,4000.0,-168.60318435668944,0.0017927104909328,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/c3u7sgsf,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,392.0,,2048.0,,18.0,2.0
