E,E_sigma,steps,geom_id,n_atom,R,k,weight
-4.423008441925049,5.8993045357609517e-05,20000,24,8,1.7,0.0,0.25
-4.558087348937988,5.701761133315767e-05,20000,25,8,1.7,0.25,0.5
-4.610798358917236,5.7862669245877706e-05,20000,26,8,1.7,0.5,0.25
-4.450297832489014,4.894454270590341e-05,20000,27,8,1.8,0.0,0.25
-4.568471908569336,5.2852735111552164e-05,20000,28,8,1.8,0.25,0.5
-4.615177154541016,5.823399992533533e-05,20000,29,8,1.8,0.5,0.25
-4.4613542556762695,4.842567727244334e-05,20000,30,8,1.9,0.0,0.25
-4.565323829650879,5.1525474188185434e-05,20000,31,8,1.9,0.25,0.5
-4.607025623321533,5.536527727459586e-05,20000,32,8,1.9,0.5,0.25
-4.460472583770752,4.737793478395688e-05,20000,33,8,2.0,0.0,0.25
-4.552220344543457,5.2198762246335547e-05,20000,34,8,2.0,0.25,0.5
-4.5895466804504395,4.956504458045443e-05,20000,35,8,2.0,0.5,0.25
-5.720165252685547,6.38035748545913e-05,20000,36,10,1.7,0.0,0.25
-5.677875995635986,6.404374444090249e-05,20000,37,10,1.7,0.25,0.5
-5.569287300109863,7.402835597463564e-05,20000,38,10,1.7,0.5,0.25
-5.7298479080200195,5.5559506897983855e-05,20000,39,10,1.8,0.0,0.25
-5.692185401916504,6.29179029741963e-05,20000,40,10,1.8,0.25,0.5
-5.597387313842773,6.534147550596229e-05,20000,41,10,1.8,0.5,0.25
-5.723094940185547,4.974773715059698e-05,20000,42,10,1.9,0.0,0.25
-5.68966817855835,5.491907028657506e-05,20000,43,10,1.9,0.25,0.5
-5.6060261726379395,7.08064464307925e-05,20000,44,10,1.9,0.5,0.25
-5.70449686050415,5.6909300477689164e-05,20000,45,10,2.0,0.0,0.25
-5.674537181854248,6.529608219944287e-05,20000,46,10,2.0,0.25,0.5
-5.600590705871582,6.0819361927613694e-05,20000,47,10,2.0,0.5,0.25
-6.709035873413086,7.735005894655129e-05,20000,48,12,1.7,0.0,0.25
-6.799630641937256,7.192042285041098e-05,20000,49,12,1.7,0.25,0.5
-6.834418773651123,7.550465625867807e-05,20000,50,12,1.7,0.5,0.25
-6.738731861114502,6.731280700426007e-05,20000,51,12,1.8,0.0,0.25
-6.818039417266846,6.88158205645671e-05,20000,52,12,1.8,0.25,0.5
-6.849039554595947,6.729600643078397e-05,20000,53,12,1.8,0.5,0.25
-6.746391773223877,6.548650605301028e-05,20000,54,12,1.9,0.0,0.25
-6.815920829772949,6.0461109351835024e-05,20000,55,12,1.9,0.25,0.5
-6.843437671661377,6.14194969464354e-05,20000,56,12,1.9,0.5,0.25
-6.737696170806885,6.134899909535392e-05,20000,57,12,2.0,0.0,0.25
-6.798572063446045,6.242067472182292e-05,20000,58,12,2.0,0.25,0.5
-6.823042869567871,6.179375874546756e-05,20000,59,12,2.0,0.5,0.25
-2.0599663257598877,3.38642370605949e-05,50000,0,4,1.7,0.0,0.25
-2.3297436237335205,3.132915703496117e-05,50000,1,4,1.7,0.25,0.5
-2.43526029586792,2.7649844459322722e-05,50000,2,4,1.7,0.5,0.25
-2.0956411361694336,3.3464930588892515e-05,50000,3,4,1.8,0.0,0.25
-2.3314099311828613,2.755430453869675e-05,50000,4,4,1.8,0.25,0.5
-2.425218343734741,2.4878184557762605e-05,50000,5,4,1.8,0.5,0.25
-2.119673728942871,2.8897072282050647e-05,50000,6,4,1.9,0.0,0.25
-2.326650381088257,2.6624975636645767e-05,50000,7,4,1.9,0.25,0.5
-2.4106221199035645,2.6647648861773885e-05,50000,8,4,1.9,0.5,0.25
-2.1348416805267334,2.8076660763763797e-05,50000,9,4,2.0,0.0,0.25
-2.317298412322998,2.301515870868188e-05,50000,10,4,2.0,0.25,0.5
-2.392817497253418,2.4942346400811728e-05,50000,11,4,2.0,0.5,0.25
-3.511963129043579,3.197149913440598e-05,50000,12,6,1.7,0.0,0.25
-3.441701650619507,3.1871018481140155e-05,50000,13,6,1.7,0.25,0.5
-3.261655807495117,3.817047081884016e-05,50000,14,6,1.7,0.5,0.25
-3.5101704597473145,2.8609182194815377e-05,50000,15,6,1.8,0.0,0.25
-3.447798728942871,3.636093399730624e-05,50000,16,6,1.8,0.25,0.5
-3.2903428077697754,3.4555767823876796e-05,50000,17,6,1.8,0.5,0.25
-3.499694585800171,2.791699284072322e-05,50000,18,6,1.9,0.0,0.25
-3.443925380706787,3.0086448238504476e-05,50000,19,6,1.9,0.25,0.5
-3.305562973022461,3.070135599585685e-05,50000,20,6,1.9,0.5,0.25
-3.4829256534576416,2.5041317241152838e-05,50000,21,6,2.0,0.0,0.25
-3.4328794479370117,2.6466742035883673e-05,50000,22,6,2.0,0.25,0.5
-3.3107736110687256,3.4916563653495896e-05,50000,23,6,2.0,0.5,0.25
-4.423298358917236,4.264276317379874e-05,50000,24,8,1.7,0.0,0.25
-4.558611869812012,3.5904116668800686e-05,50000,25,8,1.7,0.25,0.5
-4.61118745803833,4.057001650009725e-05,50000,26,8,1.7,0.5,0.25
-4.450565814971924,4.0916664341361436e-05,50000,27,8,1.8,0.0,0.25
-4.569003582000732,3.689559780083548e-05,50000,28,8,1.8,0.25,0.5
-4.615591049194336,3.548622908562132e-05,50000,29,8,1.8,0.5,0.25
-4.461691379547119,3.356578088601233e-05,50000,30,8,1.9,0.0,0.25
-4.565727710723877,3.399509879428212e-05,50000,31,8,1.9,0.25,0.5
-4.60745906829834,3.2750028962786254e-05,50000,32,8,1.9,0.5,0.25
-4.460821151733398,3.2694316865864096e-05,50000,33,8,2.0,0.0,0.25
